																										
Species	Field season	Date-collected	Plot	Sex	Weight-in-grams	Calibrated																				
DM	2013	2013-07-16	2	F	null	yes																				
DM	2013	2013-07-16	7	M	33	yes																				
DM	2013	2013-07-16	3	M	null	yes																				
DM	2013	2013-07-16	1	M	null	yes																				
DM	2013	2013-07-18	3	M	40	yes																				
DM	2013	2013-07-18	7	M	48	yes																				
DM	2013	2013-07-18	4	F	29	yes																				
DM	2013	2013-07-18	6	F	37	yes																				
DO	2013	2013-08-19	8	F	52	yes																				
DO	2013	2013-10-17	3	F	33	yes																				
DO	2013	2013-10-17	3	F	50	yes																				
DO	2013	2013-10-12	9	F	40	yes																				
DO	2013	2013-10-13	1	M	45	yes																				
DO	2013	2013-12-11	8	F	41	yes																				
DS	2013	2013-11-12	9	F	117	yes																				
DS	2013	2013-11-13	11	F	126	yes																				
DS	2013	2013-11-13	17	M	132	no																				
DS	2013	2013-11-13	14	F	113	no																				
DS	2013	2013-11-13	11	F	122	yes																				
DS	2013	2013-11-13	4	F	107	yes																				
DS	2013	2013-11-13	4	F	115	yes																				
DM	2014	2014-01-09	1	M	40	yes																				
DM	2014	2014-01-09	1	F	36	yes																				
DM	2014	2014-03-13	1	F	51	yes																				
DM	2014	2014-03-13	1	F	44	yes																				
DM	2014	2014-01-08	2	M	44	yes																				
DM	2014	2014-01-08	2	M	45	yes																				
DM	2014	2014-02-18	2	M	52	yes																				
DM	2014	1978-01-08	4	F	37	yes																				
DM	2014	1978-01-08	4	M	null	yes																				
DM	2014	1978-01-08	4	F	48	yes																				
DO	2014	1978-01-08	4	M	52	yes																				
DS	2014	2014-03-13	1	F	146	yes																				
DS	2014	2014-01-08	2	M	157	no																				
NA	2014	2014-01-08	2	null	null	null																				
NA	2014	2014-02-18	2	M	218	no																				
NA	2014	2015-04-08	3	F	null	null																				
NA	2014	2015-05-18	3	F	182	yes																				
NA	2014	2015-07-08	3	F	115	yes																				
NA	2014	2015-07-08	3	M	190	yes																				
PF	2014	2014-02-18	2	F	7	yes																				
PF	2014	2014-01-08	2	F	7	yes																				
PF	2014	2015-03-11	3	M	8	yes																				
OT	2014	2014-01-08	2	null	null	null																				
OT	2014	2015-06-09	3	F	29	yes																				
OX	2014	2014-01-08	2	null	null	null																				
OL	2014	1978-01-08	4	M	35	yes																				
null	2014	2015-05-06	3	null	null	null																				
